hour_index_0based,local_ac_w,official_replay_ac_w,absolute_difference_w,exact_match
521,0.0,0.0,0.0,True
522,0.0,0.0,0.0,True
523,0.0,0.0,0.0,True
524,0.0,0.0,0.0,True
525,0.0,0.0,0.0,True
526,0.0,0.0,0.0,True
527,0.0,0.0,0.0,True
528,0.0,0.0,0.0,True
529,0.0,0.0,0.0,True
530,0.0,0.0,0.0,True
531,0.0,0.0,0.0,True
532,0.0,0.0,0.0,True
533,0.0,0.0,0.0,True
534,0.0,0.0,0.0,True
535,95.391,95.391,0.0,True
536,326.321,326.321,0.0,True
537,496.133,496.133,0.0,True
538,610.019,610.019,0.0,True
539,670.271,670.271,0.0,True
540,223.795,223.795,0.0,True
541,442.183,442.183,0.0,True
542,348.349,348.349,0.0,True
543,242.499,242.499,0.0,True
544,52.7,52.7,0.0,True
545,0.0,0.0,0.0,True
546,0.0,0.0,0.0,True
547,0.0,0.0,0.0,True
548,0.0,0.0,0.0,True
549,0.0,0.0,0.0,True
550,0.0,0.0,0.0,True
551,0.0,0.0,0.0,True
552,0.0,0.0,0.0,True
553,0.0,0.0,0.0,True
554,0.0,0.0,0.0,True
555,0.0,0.0,0.0,True
556,0.0,0.0,0.0,True
557,0.0,0.0,0.0,True
558,0.0,0.0,0.0,True
559,16.166,16.166,0.0,True
560,76.119,76.119,0.0,True
561,107.631,107.631,0.0,True
562,228.325,228.325,0.0,True
563,234.576,234.576,0.0,True
564,219.669,219.669,0.0,True
565,154.089,154.089,0.0,True
566,78.428,78.428,0.0,True
567,39.657,39.657,0.0,True
568,13.635,13.635,0.0,True
569,0.0,0.0,0.0,True
570,0.0,0.0,0.0,True
571,0.0,0.0,0.0,True
572,0.0,0.0,0.0,True
573,0.0,0.0,0.0,True
574,0.0,0.0,0.0,True
575,0.0,0.0,0.0,True
576,0.0,0.0,0.0,True
577,0.0,0.0,0.0,True
578,0.0,0.0,0.0,True
579,0.0,0.0,0.0,True
580,0.0,0.0,0.0,True
581,0.0,0.0,0.0,True
582,0.0,0.0,0.0,True
583,0.0,0.0,0.0,True
584,40.546,40.546,0.0,True
585,313.13,313.13,0.0,True
586,255.19,255.19,0.0,True
587,391.54,391.54,0.0,True
588,283.658,283.658,0.0,True
589,478.732,478.732,0.0,True
590,547.485,547.485,0.0,True
591,172.171,172.171,0.0,True
592,6.62,6.62,0.0,True
593,0.0,0.0,0.0,True
594,0.0,0.0,0.0,True
595,0.0,0.0,0.0,True
596,0.0,0.0,0.0,True
597,0.0,0.0,0.0,True
598,0.0,0.0,0.0,True
599,0.0,0.0,0.0,True
600,0.0,0.0,0.0,True
601,0.0,0.0,0.0,True
602,0.0,0.0,0.0,True
603,0.0,0.0,0.0,True
604,0.0,0.0,0.0,True
605,0.0,0.0,0.0,True
606,0.0,0.0,0.0,True
607,0.0,0.0,0.0,True
608,2.413,2.413,0.0,True
609,76.372,76.372,0.0,True
610,71.581,71.581,0.0,True
611,275.671,275.671,0.0,True
612,23.432,23.432,0.0,True
613,101.26,101.26,0.0,True
614,85.56,85.56,0.0,True
615,255.266,255.266,0.0,True
616,78.055,78.055,0.0,True
617,0.0,0.0,0.0,True
618,0.0,0.0,0.0,True
619,0.0,0.0,0.0,True
620,0.0,0.0,0.0,True
621,0.0,0.0,0.0,True
622,0.0,0.0,0.0,True
623,0.0,0.0,0.0,True
624,0.0,0.0,0.0,True
625,0.0,0.0,0.0,True
626,0.0,0.0,0.0,True
