controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms
PPO-QP,20260805,300,38,-39.12592135949096,55.18003007630111,0.0,40.00000001461699,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,-12.229913415192343,0.0,0.0,-86.62592137410795,7.5,45.887623753422005,125.0,58,-100.0,79.37297026300362,-754.157373669802,79.37297026300362,-179.37297026300362,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.691200003027916
PPO-QP,20260805,300,39,-63.81583768076371,70.3362915254825,0.0,40.00000003691713,0.0,hard_qp_solution,0.0,0,0,0.0,-84.12592135949096,5.87407864050904,0.0,0.0,-111.31583771768084,7.5,55.18003007630111,125.0,57,-100.0,100.0,-715.0314523103111,114.6841142899442,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.12910000118427
PPO-QP,20260805,300,40,-62.17686653692036,85.10329732800108,0.0,40.000000025839,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,-18.815837680763707,0.0,0.0,-109.67686656275936,7.5,70.3362915254825,125.0,56,-100.0,100.0,-651.2156146295474,172.27790779683346,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.297299994097557
PPO-QP,20260805,300,41,-54.14790528418026,97.9634248329939,0.0,40.000000016588565,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,-17.176866536920357,0.0,0.0,-101.64790530076883,7.5,85.10329732800108,125.0,55,-100.0,100.0,-589.0387480926271,228.39252984640407,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.24760000128299
PPO-QP,20260805,300,42,-66.20919534087083,113.68810872645072,0.0,40.0000000233219,0.0,hard_qp_solution,0.0,0,0,0.0,-99.14790528418027,-9.147905284180261,0.0,0.0,-113.70919536419274,7.5,97.9634248329939,125.0,54,-100.0,100.0,-534.8908428084468,277.2610143653768,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0975000006728806
PPO-QP,20260805,300,43,-63.686637113897135,128.8136850410013,0.0,40.00000001817351,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,-21.209195340870835,0.0,0.0,-111.18663713207064,7.5,113.68810872645072,125.0,53,-100.0,100.0,-468.68164746757594,337.01481316051274,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.237300002889242
PPO-QP,20260805,300,44,-57.75729419645015,142.5310424126582,0.0,40.00000001776536,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,-18.686637113897135,0.0,0.0,-105.2572942142155,7.5,128.8136850410013,125.0,52,-100.0,100.0,-404.99501035367877,394.49200315580487,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.1859999978914857
PPO-QP,20260805,300,45,-98.99941081476985,166.04340248116603,0.0,41.53924302691016,1.5292430269101567,phase2_solution,0.5286538416800022,1,0,0.2501472963075386,-100.0,-12.757294196450147,0.0,0.0,-148.03865384168,7.5,142.5310424126582,125.0,51,-100.0,100.0,-347.23771615722865,446.61796116810115,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,6.574000006366987
PPO-QP,20260805,300,46,-56.67862816362096,179.504576670026,0.0,39.999999240537235,0.0,hard_qp_solution,0.0,0,0,0.0,-100.0,-53.999410814769846,0.0,0.0,-104.17862740415819,7.5,166.04340248116603,125.0,50,-100.0,100.0,-248.23830534245886,535.9649294284309,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8151999975088984
PPO-QP,20260805,300,47,-98.99979240996022,203.01702736739156,0.0,73.15226872006734,33.14226872006734,phase2_solution,32.142061130027564,1,0,0.2500518975099446,-100.0,-11.678628163620957,0.0,0.0,-179.65206113002756,7.5,179.504576670026,125.0,49,-100.0,100.0,-191.55967717883786,587.1173913460988,-200.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,6.455899994762149
