state_id,day,step,controller,policy_seed,selected_budget,repetition,elapsed_ms,mpc_status,mpc_fallback,qp_execution_path,executed_battery_power_kw,soc_after_kwh,grid_violation_kw
4,240,95,PPO-QP-no-penalty,20260805,90,5,1.5009,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,Rule+QP,0,0,1,1.5595,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,Rule+QP,0,0,2,1.5586,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,Rule+QP,0,0,3,1.5378,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,Rule+QP,0,0,4,1.5426,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,Rule+QP,0,0,5,1.5683,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24+QP,0,0,1,2.3904,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24+QP,0,0,2,2.3173,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24+QP,0,0,3,2.4173,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24+QP,0,0,4,2.3472,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24+QP,0,0,5,2.3058,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,NetLoadRule+QP,0,0,1,1.5525,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,NetLoadRule+QP,0,0,2,1.5743,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,NetLoadRule+QP,0,0,3,1.5573,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,NetLoadRule+QP,0,0,4,1.5467,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,NetLoadRule+QP,0,0,5,1.5358,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24-FRR+QP,0,0,1,2.3301,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24-FRR+QP,0,0,2,2.3048,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24-FRR+QP,0,0,3,2.3551,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24-FRR+QP,0,0,4,2.3052,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,MPC-H24-FRR+QP,0,0,5,2.2974,0,0,hard_qp_solution,99.99999998577502,125.0,0.0
5,252,0,PPO-QP-no-penalty,20260805,90,1,1.3643,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
5,252,0,PPO-QP-no-penalty,20260805,90,2,1.3639,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
5,252,0,PPO-QP-no-penalty,20260805,90,3,1.3646,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
5,252,0,PPO-QP-no-penalty,20260805,90,4,1.3654,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
5,252,0,PPO-QP-no-penalty,20260805,90,5,1.3406,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
5,252,0,Rule+QP,0,0,1,1.4557,-1,0,hard_qp_solution,3.553031930976332e-08,124.99999999064991,0.0
5,252,0,Rule+QP,0,0,2,1.4526,-1,0,hard_qp_solution,3.553031930976332e-08,124.99999999064991,0.0
5,252,0,Rule+QP,0,0,3,1.4593,-1,0,hard_qp_solution,3.553031930976332e-08,124.99999999064991,0.0
5,252,0,Rule+QP,0,0,4,1.467,-1,0,hard_qp_solution,3.553031930976332e-08,124.99999999064991,0.0
5,252,0,Rule+QP,0,0,5,1.4727,-1,0,hard_qp_solution,3.553031930976332e-08,124.99999999064991,0.0
5,252,0,MPC-H24+QP,0,0,1,19.9747,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
5,252,0,MPC-H24+QP,0,0,2,19.6246,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
5,252,0,MPC-H24+QP,0,0,3,20.0041,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
5,252,0,MPC-H24+QP,0,0,4,20.448,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
5,252,0,MPC-H24+QP,0,0,5,19.8527,0,0,hard_qp_solution,44.99999998883866,113.1578947397793,0.0
5,252,0,NetLoadRule+QP,0,0,1,1.7136,-1,0,hard_qp_solution,45.0,113.15789473684211,0.0
