controller,seed,episode,update,transition,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,day,step,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step
PPO-QP,20260807,46,9,4509,0,0,0,0.0,-100.0,-100.0,0.0,1.9988159275878086e-11,115.68383100969456,30.0,208,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,47,9,4605,0,0,0,0.0,-100.0,-100.0,0.0,1.996794951608649e-11,92.19664912634585,30.0,74,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,48,10,4701,0,0,0,0.0,-100.0,-100.0,0.0,1.9874831410267766e-11,89.55801861089178,30.0,102,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,49,10,4797,0,0,0,0.0,-100.0,-98.47182841600883,0.0,2.0048862570121174e-11,100.43147422329041,30.0,118,92,30.362940751197904,125.0,4,-100.0,20.379174854552033,-730.8818007151779,-98.47182841600883,-1.528171583991167,3.7999999999999996e-08,0,1,81.5431794185748,0
PPO-QP,20260807,50,10,4893,0,0,0,0.0,-100.0,-87.85477897776467,0.0,1.982022324042987e-11,110.48753847270052,30.0,160,92,32.88448999278089,125.0,4,-100.0,29.96106197256739,-720.2647512769337,-87.85477897776467,-12.145221022235333,3.7999999999999996e-08,0,1,48.453432343038045,0
PPO-QP,20260807,51,10,4989,0,0,0,0.0,-100.0,-100.0,0.0,1.9919484580318188e-11,97.15497237735016,30.0,17,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,52,10,5085,0,0,0,0.0,-100.0,-100.0,0.0,0.0,117.29831760304205,30.0,210,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,53,11,5181,0,0,0,0.0,-100.0,-100.0,0.0,1.992656410247188e-11,90.96640864829209,30.0,87,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,47.027574701665266,0
PPO-QP,20260807,54,11,5277,0,0,0,0.0,-100.0,-100.0,0.0,2.960594732333751e-17,106.24062507747706,30.0,199,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,55,11,5373,0,0,0,0.0,-100.0,-100.0,0.0,0.0,103.74738027439993,30.0,54,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
